"timestamp","ip","mac","iface","note","is_spoof"2025-10-24T04:42:10.104507,172.19.65.1,16:d8:e4:80:e8:43,en0,,0
2025-10-24T04:42:42.667678,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:42.975464,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:43.178704,172.19.72.242,ce:ff:b3:a9:17:3e,en0,,0
2025-10-24T04:42:43.179848,172.19.67.168,d6:61:43:1b:3b:b7,en0,,0
2025-10-24T04:42:43.383745,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:43.487521,172.19.68.94,dc:b7:2e:21:d4:63,en0,,0
2025-10-24T04:42:43.691932,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:44.001668,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:44.101082,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:44.204143,172.19.67.108,ca:d3:0a:b9:56:0d,en0,,0
2025-10-24T04:42:44.407272,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:44.816647,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:45.023506,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:45.328693,172.19.72.242,ce:ff:b3:a9:17:3e,en0,,0
2025-10-24T04:42:45.431334,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:45.432570,172.19.67.168,d6:61:43:1b:3b:b7,en0,,0
2025-10-24T04:42:45.638211,172.19.69.120,26:41:d5:71:3e:25,en0,,0
2025-10-24T04:42:45.639250,172.19.66.92,e2:2b:40:d5:33:b8,en0,,0
2025-10-24T04:42:45.943885,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:46.967600,172.19.65.125,de:fa:92:c5:09:8d,en0,,0
2025-10-24T04:42:46.968805,172.19.72.242,ce:ff:b3:a9:17:3e,en0,,0
2025-10-24T04:42:47.073489,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:47.292716,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:47.376768,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:47.480330,172.19.73.95,7c:76:35:2e:26:c4,en0,,0
2025-10-24T04:42:47.684434,172.19.72.84,ca:07:2b:25:a9:8d,en0,,0
2025-10-24T04:42:47.888856,172.19.72.171,5a:52:c9:f8:0c:31,en0,,0
2025-10-24T04:42:47.889705,172.19.72.171,5a:52:c9:f8:0c:31,en0,,0
2025-10-24T04:42:48.094099,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:48.094389,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:48.197377,172.19.73.95,7c:76:35:2e:26:c4,en0,,0
2025-10-24T04:42:48.401447,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:48.502941,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:49.016740,172.19.68.18,2e:10:74:71:68:f0,en0,,0
2025-10-24T04:42:49.120269,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:49.219890,172.19.73.95,7c:76:35:2e:26:c4,en0,,0
2025-10-24T04:42:49.221538,172.19.67.250,72:4c:83:3a:2a:3a,en0,,0
2025-10-24T04:42:49.425836,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:49.527201,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:49.834454,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:50.143264,172.19.65.151,f6:7b:36:7a:2d:de,en0,,0
2025-10-24T04:42:50.449499,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:50.449808,172.19.67.155,92:0a:7c:56:8c:75,en0,,0
2025-10-24T04:42:50.450653,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:50.553681,172.19.67.155,92:0a:7c:56:8c:75,en0,,0
2025-10-24T04:42:50.861248,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:51.370537,172.19.73.145,a2:7f:47:78:8d:e6,en0,,0
2025-10-24T04:42:51.370814,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:51.477417,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:51.678816,172.19.67.161,5a:31:05:5d:97:a3,en0,,0
2025-10-24T04:42:51.988920,172.19.65.103,1e:ec:0e:d4:be:d3,en0,,0
2025-10-24T04:42:52.394263,172.19.68.167,2a:eb:27:b7:b6:46,en0,,0
2025-10-24T04:42:52.394525,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:52.496640,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:52.496933,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:52.804065,172.19.73.45,ae:83:85:40:b9:f1,en0,,0
2025-10-24T04:42:52.807427,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:53.316427,0.0.0.0,f0:77:c3:fc:f6:e3,en0,,0
2025-10-24T04:42:53.419678,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:53.521627,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:53.725820,172.19.71.96,9e:1e:28:d1:4b:f8,en0,,0
2025-10-24T04:42:53.828277,172.19.67.62,de:2b:5b:96:1f:0b,en0,,0
2025-10-24T04:42:53.828651,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:53.930596,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:53.932118,172.19.72.38,62:d0:1d:cf:2a:c5,en0,,0
2025-10-24T04:42:54.033691,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:54.340091,0.0.0.0,f0:77:c3:fc:f6:e3,en0,,0
2025-10-24T04:42:54.445991,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:54.649561,172.19.65.228,e2:d4:e4:d3:e3:39,en0,,0
2025-10-24T04:42:54.652518,172.19.73.1,0a:15:55:3b:cb:74,en0,,0
2025-10-24T04:42:54.749961,172.19.66.197,62:51:bb:f0:8e:a0,en0,,0
2025-10-24T04:42:54.750494,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:54.852611,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:54.954414,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:54.957462,172.19.68.94,dc:b7:2e:21:d4:63,en0,,0
